Employee_ID,Total_Tasks,Avg_Time_Per_Task,Total_Hours_Worked
1,23,7.086956521739131,163
2,21,7.571428571428571,159
3,27,6.185185185185185,167
4,28,6.428571428571429,180
5,19,5.7368421052631575,109
6,32,7.875,252
7,31,7.161290322580645,222
8,31,5.451612903225806,169
9,23,6.086956521739131,140
10,19,5.2105263157894735,99
11,30,6.633333333333334,199
12,30,5.9,177
13,29,5.724137931034483,166
14,26,6.0,156
15,17,6.235294117647059,106
16,24,5.833333333333333,140
17,22,7.409090909090909,163
18,27,6.62962962962963,179
19,17,5.294117647058823,90
20,26,6.769230769230769,176
21,30,7.766666666666667,233
22,21,6.190476190476191,130
23,25,6.2,155
24,21,6.333333333333333,133
25,18,6.666666666666667,120
26,20,6.4,128
27,26,7.038461538461538,183
28,28,6.642857142857143,186
29,19,6.105263157894737,116
30,31,6.064516129032258,188
31,23,6.086956521739131,140
32,16,6.5,104
33,28,6.607142857142857,185
34,28,7.0,196
35,19,7.842105263157895,149
36,26,6.423076923076923,167
37,27,6.444444444444445,174
38,22,7.409090909090909,163
39,27,4.888888888888889,132
40,30,6.333333333333333,190
41,25,5.92,148
42,21,5.095238095238095,107
43,19,7.2105263157894735,137
44,20,6.05,121
45,28,6.535714285714286,183
46,27,6.666666666666667,180
47,20,5.65,113
48,27,7.185185185185185,194
49,23,6.3478260869565215,146
50,21,6.285714285714286,132
51,31,6.32258064516129,196
52,25,7.64,191
53,29,6.620689655172414,192
54,24,6.416666666666667,154
55,27,7.222222222222222,195
56,32,6.875,220
57,20,5.9,118
58,25,7.2,180
59,32,7.34375,235
60,28,7.535714285714286,211
61,31,6.387096774193548,198
62,24,5.791666666666667,139
63,32,6.8125,218
64,31,6.870967741935484,213
65,32,6.3125,202
66,35,6.257142857142857,219
67,20,6.15,123
68,22,5.909090909090909,130
69,28,6.678571428571429,187
70,32,6.3125,202
71,29,7.241379310344827,210
72,26,6.038461538461538,157
73,31,6.67741935483871,207
74,18,6.666666666666667,120
75,17,5.705882352941177,97
76,27,6.703703703703703,181
77,19,6.421052631578948,122
78,29,6.620689655172414,192
79,18,6.555555555555555,118
80,20,6.8,136
81,18,6.555555555555555,118
82,23,5.608695652173913,129
83,25,7.04,176
84,27,6.851851851851852,185
85,23,6.826086956521739,157
86,32,6.78125,217
87,25,6.16,154
88,24,6.208333333333333,149
89,22,5.045454545454546,111
90,33,7.515151515151516,248
91,34,6.4411764705882355,219
92,27,6.814814814814815,184
93,28,5.642857142857143,158
94,19,5.684210526315789,108
95,19,6.105263157894737,116
96,31,6.709677419354839,208
97,24,5.916666666666667,142
98,28,6.392857142857143,179
99,26,6.730769230769231,175
100,39,6.076923076923077,237
101,24,6.041666666666667,145
102,25,6.12,153
103,27,6.592592592592593,178
104,24,6.166666666666667,148
105,20,7.85,157
106,26,6.0,156
107,16,6.5625,105
108,23,6.608695652173913,152
109,39,5.538461538461538,216
110,20,6.8,136
111,28,5.785714285714286,162
112,23,6.260869565217392,144
113,24,6.791666666666667,163
114,17,6.117647058823529,104
115,24,6.916666666666667,166
116,21,7.238095238095238,152
117,23,6.260869565217392,144
118,34,7.676470588235294,261
119,22,6.090909090909091,134
120,22,8.318181818181818,183
121,36,7.388888888888889,266
122,37,5.8108108108108105,215
123,21,6.428571428571429,135
124,24,6.916666666666667,166
125,23,6.739130434782608,155
126,28,7.107142857142857,199
127,29,5.862068965517241,170
128,20,5.9,118
129,15,5.333333333333333,80
130,22,6.636363636363637,146
131,27,5.814814814814815,157
132,22,6.318181818181818,139
133,21,6.714285714285714,141
134,23,5.956521739130435,137
135,25,7.64,191
136,17,6.882352941176471,117
137,29,6.448275862068965,187
138,24,6.166666666666667,148
139,34,6.794117647058823,231
140,27,6.814814814814815,184
141,21,7.380952380952381,155
142,24,6.083333333333333,146
143,23,7.391304347826087,170
144,18,7.222222222222222,130
145,21,6.714285714285714,141
146,27,6.592592592592593,178
147,26,5.5,143
148,20,8.2,164
149,22,6.2272727272727275,137
150,26,5.1923076923076925,135
151,18,5.333333333333333,96
152,27,7.7407407407407405,209
153,30,6.266666666666667,188
154,20,7.05,141
155,22,6.818181818181818,150
156,26,6.576923076923077,171
157,20,5.4,108
158,18,7.166666666666667,129
159,27,5.62962962962963,152
160,30,5.733333333333333,172
161,27,5.62962962962963,152
162,31,6.032258064516129,187
163,26,6.076923076923077,158
164,24,7.041666666666667,169
165,20,7.9,158
166,29,6.793103448275862,197
167,37,6.135135135135135,227
168,25,6.24,156
169,26,6.538461538461538,170
170,19,7.526315789473684,143
171,25,6.84,171
172,22,5.409090909090909,119
173,25,6.64,166
174,17,8.117647058823529,138
175,35,6.428571428571429,225
176,17,4.882352941176471,83
177,38,6.394736842105263,243
178,24,6.0,144
179,30,5.733333333333333,172
180,29,7.379310344827586,214
181,27,5.851851851851852,158
182,17,5.764705882352941,98
183,25,5.52,138
184,30,6.533333333333333,196
185,22,6.0,132
186,22,8.0,176
187,27,6.481481481481482,175
188,27,7.555555555555555,204
189,28,6.535714285714286,183
190,27,6.37037037037037,172
191,24,6.083333333333333,146
192,25,6.44,161
193,22,6.681818181818182,147
194,20,6.8,136
195,20,6.2,124
196,28,5.035714285714286,141
197,16,4.75,76
198,28,6.464285714285714,181
199,27,5.666666666666667,153
200,21,8.952380952380953,188
